step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
1,TRANSFER,181.00,181.00,0.00,0.00,0.00
1,PAYMENT,4024.36,5099.00,1074.64,1565.27,1570.27
1,CASH_OUT,9006.20,9006.20,0.00,0.00,9006.20
1,TRANSFER,50000.00,50000.00,0.00,10000.00,60000.00
2,DEBIT,500.00,5000.00,4500.00,100.00,600.00
2,TRANSFER,200000.00,200000.00,0.00,0.00,200000.00
3,CASH_IN,2000.00,100.00,2100.00,50000.00,48000.00
3,TRANSFER,150000.00,160000.00,10000.00,500.00,150500.00
4,PAYMENT,1234.50,3000.00,1765.50,200.00,1434.50
4,TRANSFER,89000.00,89000.00,0.00,0.00,89000.00
5,CASH_OUT,350.75,2000.00,1649.25,0.00,350.75
5,TRANSFER,450000.00,450001.00,1.00,0.00,450000.00
6,PAYMENT,250.00,1000.00,750.00,50.00,300.00
6,CASH_OUT,1000.00,1000.00,0.00,5000.00,6000.00
7,TRANSFER,999999.00,999999.00,0.00,0.00,999999.00
7,PAYMENT,75.50,500.00,424.50,100.00,175.50
8,CASH_IN,5000.00,0.00,5000.00,10000.00,5000.00
8,TRANSFER,300000.00,300000.00,0.00,0.00,300000.00
9,DEBIT,100.00,2000.00,1900.00,50.00,150.00
9,TRANSFER,25000.00,25000.00,0.00,1000.00,26000.00
10,CASH_OUT,750.00,3000.00,2250.00,0.00,750.00
10,PAYMENT,99.99,500.00,400.01,200.00,299.99
11,TRANSFER,180000.00,180000.00,0.00,500.00,180500.00
12,CASH_IN,10000.00,500.00,10500.00,80000.00,70000.00
13,TRANSFER,50001.00,50001.00,0.00,0.00,50001.00
14,PAYMENT,499.00,5000.00,4501.00,100.00,599.00
15,CASH_OUT,12000.00,12000.00,0.00,0.00,12000.00
16,TRANSFER,75000.00,80000.00,5000.00,0.00,75000.00
17,DEBIT,300.00,5000.00,4700.00,200.00,500.00
18,TRANSFER,600000.00,600000.00,0.00,0.00,600000.00
